"DGUID","GEO_NAME","DATA_QUALITY_FLAG","C1_COUNT_TOTAL","CHARACTERISTIC_NAME"
"2021A00055909856","Langley 2, Indian reserve (IRI)",10,332,"Population, 2021"
"2021A00055909856","Langley 2, Indian reserve (IRI)",10,9600,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055909856","Langley 2, Indian reserve (IRI)",10,38000,"  Average after-tax income in 2020 ($)"
"2021A00055915001","Langley, District municipality (DM)",0,132603,"Population, 2021"
"2021A00055915001","Langley, District municipality (DM)",0,8810,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915001","Langley, District municipality (DM)",0,47200,"  Average after-tax income in 2020 ($)"
"2021A00055915002","Langley, City (CY)",0,28963,"Population, 2021"
"2021A00055915002","Langley, City (CY)",0,8750,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915002","Langley, City (CY)",0,42360,"  Average after-tax income in 2020 ($)"
"2021A00055915004","Surrey, City (CY)",0,568322,"Population, 2021"
"2021A00055915004","Surrey, City (CY)",0,9040,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915004","Surrey, City (CY)",0,38880,"  Average after-tax income in 2020 ($)"
"2021A00055915007","White Rock, City (CY)",0,21939,"Population, 2021"
"2021A00055915007","White Rock, City (CY)",0,9570,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915007","White Rock, City (CY)",0,52250,"  Average after-tax income in 2020 ($)"
"2021A00055915011","Delta, City (CY)",0,108455,"Population, 2021"
"2021A00055915011","Delta, City (CY)",0,9000,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915011","Delta, City (CY)",0,43280,"  Average after-tax income in 2020 ($)"
"2021A00055915015","Richmond, City (CY)",0,209937,"Population, 2021"
"2021A00055915015","Richmond, City (CY)",0,10230,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
